           N         S         E         W          P    D
11  0.000000 -1.861297 -1.845761  0.000000  11.999995  0.0
12  3.355792 -1.862804 -1.867120  0.000000   0.000000  0.0
13 -0.712507 -1.874614 -1.869105  0.000000   0.000000  0.0
14 -1.899407 -1.906900 -1.901096  0.000000  14.733566  0.0
15 -1.910428  0.000000 -1.915147  0.000000   0.000000  0.0
21  0.000000 -1.868052 -1.860115 -1.860686   0.000000  0.0
22 -1.858452 -1.877192 -1.863073 -1.864642   0.000000  0.0
23 -1.858724 -1.856862 -1.866202 -1.756016   0.000000  0.0
24 -1.880011 -1.871314 -1.874903 -1.883543   0.000000  0.0
25 -1.897190  0.000000 -1.890135 -1.890264   0.000000  0.0
31  0.000000 -1.868260 -1.876498 -1.882133   0.000000  0.0
32 -1.868834 -1.861221 -1.863551 -1.870918   0.000000  0.0
33 -1.871559 -1.807165 -1.858520 -1.857052  12.749764  0.0
34 -1.883935 -1.885707 -1.899849 -1.883598   0.000000  0.0
35 -1.843893  0.000000 -1.871272 -1.884750   0.000000  0.0
41  0.000000 -1.877526 -1.887889 -1.885287   0.000000  0.0
42 -1.882380 -1.892261 -1.886861 -1.876189   0.000000  0.0
43 -1.895585 -1.900114 -1.897936  0.292513   0.000000  0.0
44 -1.913228 -1.900805 -1.905900 -1.906367   0.000000  0.0
45 -1.879024  0.000000  0.302336 -1.888516   0.000000  0.0
51  0.000000 -1.913586  0.000000 -1.902004   0.000000  0.0
52 -1.902207 -1.888312  0.000000 -1.902164   0.000000  0.0
53 -1.888415 -1.891827  0.000000 -1.901308   0.000000  0.0
54 -1.894948 -1.886121  0.000000 -1.898063   0.000000  0.0
55 -1.880945  0.000000  0.000000 -1.880261  12.744670  0.0
