           N         S         E         W          P    D
11  0.000000  0.000000  0.000000  0.000000  11.661030  0.0
12  3.544655 -1.177287 -0.657000  0.000000   0.000000  0.0
13 -0.144128 -1.597131 -1.150871  0.000000   0.000000  0.0
14 -1.174543 -1.357128 -1.295339  0.000000  14.029163  0.0
15 -1.022748  0.000000 -1.299355  0.000000   0.000000  0.0
21  0.000000 -0.740258 -1.245770  2.614030   0.000000  0.0
22 -0.192045 -1.027454 -1.111759 -0.124094   0.000000  0.0
23 -1.093602 -1.171331  1.756230 -1.222954   0.000000  0.0
24 -0.763458 -1.401930 -1.480067 -0.883590   0.000000  0.0
25 -1.171140  0.000000 -1.373202 -0.367400   0.000000  0.0
31  0.000000 -1.295174 -1.061292 -0.306405   0.000000  0.0
32 -1.206605  0.883009 -1.498965 -1.086691   0.000000  0.0
33 -1.135575 -1.000967 -1.328509 -1.498942  11.833905  0.0
34  0.535617 -1.263662 -1.104402 -0.982410   0.000000  0.0
35 -1.482001  0.000000 -0.768939 -1.454314   0.000000  0.0
41  0.000000 -1.577733 -1.228863 -1.252543   0.000000  0.0
42 -1.435069 -1.417220 -1.623416 -1.088976   0.000000  0.0
43 -1.591631 -1.022338 -1.389687 -1.194308   0.000000  0.0
44 -1.459140 -0.076340 -0.833484 -1.462680   0.000000  0.0
45 -1.061831  0.000000  1.705004 -1.427844   0.000000  0.0
51  0.000000 -1.555396  0.000000 -1.518888   0.000000  0.0
52 -1.652251 -1.378790  0.000000 -1.624151   0.000000  0.0
53 -1.654792 -0.779802  0.000000 -1.421560   0.000000  0.0
54 -1.382580  0.195488  0.000000 -1.096417   0.000000  0.0
55 -0.944422  0.000000  0.000000 -0.597238  11.865869  0.0
