           N         S         E         W    P          D
11  0.000000 -1.079136 -1.844448  0.000000  0.0   0.000000
12 -1.720067 -0.129945 -1.693955  0.000000  0.0   0.000000
13 -1.367616  1.775485 -1.367817  0.000000  0.0   0.000000
14 -1.196941  5.502083 -1.151498  0.000000  0.0   0.000000
15 -1.175310  0.000000 -1.237055  0.000000  0.0  12.476061
21  0.000000 -1.683026 -1.791968 -1.715977  0.0   0.000000
22 -1.819607 -1.302187 -1.601903 -1.386129  0.0   0.000000
23 -1.674631 -0.484509 -1.103953 -0.460578  0.0   0.000000
24 -1.279786 -0.990805 -1.086319 -1.017574  0.0   0.000000
25 -1.105620  0.000000 -1.153790 -1.212464  0.0   0.000000
31  0.000000 -1.617652 -1.598740 -1.823755  0.0   0.000000
32 -1.820657 -1.124098 -1.003735 -1.692554  0.0   0.000000
33 -1.574647 -0.637536  1.506922 -1.302337  0.0   0.000000
34 -1.232872 -1.001114  2.239557 -0.801962  0.0   0.000000
35 -0.785307  0.000000 -0.934687 -0.938462  0.0   0.000000
41  0.000000 -1.027227 -1.784189 -1.814837  0.0   0.000000
42 -1.633038  0.066480 -1.526978 -1.560793  0.0   0.000000
43 -1.253512  5.018245 -1.064850 -1.116798  0.0   0.000000
44 -0.977248 -1.057458 -0.989041 -1.067697  0.0  12.015608
45 -1.058203  0.000000 -1.091933 -1.144397  0.0   0.000000
51  0.000000 -1.535333  0.000000 -1.568018  0.0   0.000000
52 -1.798611 -0.966324  0.000000 -1.012476  0.0   0.000000
53 -1.575847 -0.564039  0.000000  0.092171  0.0   0.000000
54 -1.066927 -1.116552  0.000000  5.007574  0.0   0.000000
55  1.499405  0.000000  0.000000 -0.685315  0.0   0.000000
