           N         S         E         W    P          D
11  0.000000 -1.395048 -1.844448  0.000000  0.0   0.000000
12 -1.720067 -0.562158 -1.693955  0.000000  0.0   0.000000
13 -1.367616  1.335707 -1.367817  0.000000  0.0   0.000000
14 -0.563580  5.000340 -0.416749  0.000000  0.0   0.000000
15  0.000000  0.000000  0.000000  0.000000  0.0  12.140483
21  0.000000 -1.683026 -1.791968 -1.715977  0.0   0.000000
22 -1.819607 -1.302187 -1.601903 -1.386129  0.0   0.000000
23 -1.674631 -0.484509 -1.103953 -0.460578  0.0   0.000000
24 -1.279786  0.945845 -0.849976  1.381479  0.0   0.000000
25 -0.536740  0.000000 -1.104219  4.577186  0.0   0.000000
31  0.000000 -1.617652 -1.598740 -1.823755  0.0   0.000000
32 -1.820657 -1.124098 -1.003735 -1.692554  0.0   0.000000
33 -1.574647 -0.637536  0.075303 -1.302337  0.0   0.000000
34 -1.232872 -1.001114  0.719158 -0.594528  0.0   0.000000
35 -0.914012  0.000000  0.057266  0.764827  0.0   0.000000
41  0.000000 -1.027227 -1.784189 -1.814837  0.0   0.000000
42 -1.633038  0.066480 -1.526978 -1.560793  0.0   0.000000
43 -1.253512  1.794906 -1.064850 -1.116798  0.0   0.000000
44 -0.088243 -0.082213 -0.851036 -0.923536  0.0  11.999380
45  2.670762  0.000000 -1.023552 -0.920157  0.0   0.000000
51  0.000000 -1.552720  0.000000 -1.568018  0.0   0.000000
52 -1.798611 -0.989524  0.000000 -1.012476  0.0   0.000000
53 -1.575847 -0.564039  0.000000  0.175622  0.0   0.000000
54 -1.066927 -1.116552  0.000000  0.014352  0.0   0.000000
55 -0.132462  0.000000  0.000000  0.647905  0.0   0.000000
