           N          S         E          W    P          D
11  0.000000   1.150772 -2.214516   0.000000  0.0   0.000000
12 -1.138291   3.265137 -1.949219   0.000000  0.0   0.000000
13  0.430176   4.679688  3.145157   0.000000  0.0   0.000000
14 -1.187500  12.190559  1.899414   0.000000  0.0   0.000000
15  0.000000   0.000000  0.000000   0.000000  0.0  14.832419
21  0.000000  -0.864502 -1.236458  -2.237793  0.0   0.000000
22 -2.741699   1.304047  0.329956  -0.715271  0.0   0.000000
23 -0.764801   5.961411  0.762695   2.348145  0.0   0.000000
24  2.985352   4.262357  2.825317   7.169922  0.0   0.000000
25  3.317383   0.000000  0.406250  10.370389  0.0   0.000000
31  0.000000   0.294281 -1.649704  -1.954041  0.0   0.000000
32 -1.328674   1.778137 -0.230662  -0.558044  0.0   0.000000
33  0.671387   2.425293  1.300290   0.192871  0.0   0.000000
34  1.475098   1.359619  2.728516   5.260620  0.0   0.000000
35  1.875244   0.000000  1.887329  -0.588867  0.0   0.000000
41  0.000000  -0.063079 -1.206388  -1.528137  0.0   0.000000
42 -1.500000   1.332561  0.732133   0.469200  0.0   0.000000
43  0.140410   0.743286  2.146786   1.703125  0.0   0.000000
44  1.563660   2.133545  2.070038   2.945190  0.0  14.777344
45  2.010986   0.000000  1.409067   1.304565  0.0   0.000000
51  0.000000   0.714437  0.000000  -1.687500  0.0   0.000000
52 -1.562118   1.959102  0.000000   0.289035  0.0   0.000000
53  0.807232   2.564721  0.000000   1.251723  0.0   0.000000
54  1.724809   1.924416  0.000000   2.462465  0.0   0.000000
55  1.988422   0.000000  0.000000   1.662872  0.0   0.000000
