           N         S         E         W          P    D
11  0.000000  0.000000  0.000000  0.000000  11.250000  0.0
12  7.312500  1.401889  0.000000  0.000000   0.000000  0.0
13  2.635947  2.341278  2.509766  0.000000   0.000000  0.0
14  1.132324  1.760752  3.606754  0.000000  15.375000  0.0
15  2.748088  0.000000  2.782658  0.000000   0.000000  0.0
21  0.000000  0.000000 -0.750000  0.000000   0.000000  0.0
22 -0.500000  2.493988  0.000000 -0.253906   0.000000  0.0
23  1.000000  3.478210  3.066162  1.414795   0.000000  0.0
24  2.726074  2.635576  3.529694  2.577419   0.000000  0.0
25  3.551305  0.000000  3.006043  1.888566   0.000000  0.0
31  0.000000  0.565186 -0.500000 -0.500000   0.000000  0.0
32 -0.500000  2.157715  0.054932  0.754883   0.000000  0.0
33  0.868286  3.870117  0.890625  2.377945  12.093750  0.0
34  3.535645  3.089111  3.112793  3.262573   0.000000  0.0
35  3.831543  0.000000  2.514526  2.601223   0.000000  0.0
41  0.000000 -0.875000 -0.500000 -0.763672   0.000000  0.0
42 -0.750000  1.073242 -1.456543  0.578857   0.000000  0.0
43 -0.225586  2.723145 -0.682129  2.597656   0.000000  0.0
44 -0.046875  2.174774  0.888428  3.608887   0.000000  0.0
45  2.908203  0.000000  0.756592  3.039673   0.000000  0.0
51  0.000000 -0.500000  0.000000 -1.312500   0.000000  0.0
52 -1.125000 -0.096924  0.000000 -0.663086   0.000000  0.0
53 -1.144287  0.514648  0.000000  1.010742   0.000000  0.0
54 -0.667969  0.092285  0.000000  2.960449   0.000000  0.0
55  1.657715  0.000000  0.000000  1.852844  12.796875  0.0
